package	distribution	import_name	declared_runtime_status	ref_path	version	status	failure_reason	waiver_reason
pydeseq2	pydeseq2	pydeseq2	missing	skills/scrna/scverse/refs/packages/pydeseq2.md		missing	import: ModuleNotFoundError: No module named 'pydeseq2'	
pyscenic	pyscenic	pyscenic	missing	skills/scrna/scverse/refs/packages/pyscenic.md		missing	import: ModuleNotFoundError: No module named 'pyscenic'	
pyucell	pyucell	pyucell	missing	skills/scrna/scverse/refs/packages/pyucell.md		missing	import: ModuleNotFoundError: No module named 'pyucell'	
rapids_singlecell	rapids-singlecell	rapids_singlecell	missing	skills/scrna/scverse/refs/packages/rapids_singlecell.md		missing	import: ModuleNotFoundError: No module named 'rapids_singlecell'	
scanpy	scanpy	scanpy	installed	skills/scrna/scverse/refs/packages/scanpy.md	1.11.5	installed		
scfates	scFates	scFates	missing	skills/scrna/scverse/refs/packages/scfates.md		missing	import: ModuleNotFoundError: No module named 'scFates'	
scgen	scgen	scgen	missing	skills/scrna/scverse/refs/packages/scgen.md		missing	import: ModuleNotFoundError: No module named 'scgen'	
schist	schist	schist	missing	skills/scrna/scverse/refs/packages/schist.md		missing	import: ModuleNotFoundError: No module named 'schist'	
scib	scib	scib	missing	skills/scrna/scverse/refs/packages/scib.md		missing	import: ModuleNotFoundError: No module named 'scib'	
scirpy	scirpy	scirpy	missing	skills/scrna/scverse/refs/packages/scirpy.md		missing	import: ModuleNotFoundError: No module named 'scirpy'	
scvelo	scvelo	scvelo	missing	skills/scrna/scverse/refs/packages/scvelo.md		missing	import: ModuleNotFoundError: No module named 'scvelo'	
scvi_tools	scvi-tools	scvi	missing	skills/scrna/scverse/refs/packages/scvi_tools.md		missing	import: ModuleNotFoundError: No module named 'scvi'	
scyan	scyan	scyan	missing	skills/scrna/scverse/refs/packages/scyan.md		missing	import: ModuleNotFoundError: No module named 'scyan'	
sincei	sincei	sincei	missing	skills/scrna/scverse/refs/packages/sincei.md		missing	import: ModuleNotFoundError: No module named 'sincei'	
snapatac2	snapatac2	snapatac2	missing	skills/scrna/scverse/refs/packages/snapatac2.md		missing	import: ModuleNotFoundError: No module named 'snapatac2'	
sopa	sopa	sopa	missing	skills/scrna/scverse/refs/packages/sopa.md		missing	import: ModuleNotFoundError: No module named 'sopa'	
spatialdata	spatialdata	spatialdata	missing	skills/scrna/scverse/refs/packages/spatialdata.md		missing	import: ModuleNotFoundError: No module named 'spatialdata'	
squidpy	squidpy	squidpy	missing	skills/scrna/scverse/refs/packages/squidpy.md		missing	import: ModuleNotFoundError: No module named 'squidpy'	
tangram	tangram	tangram	missing	skills/scrna/scverse/refs/packages/tangram.md		missing	import: ModuleNotFoundError: No module named 'tangram'	
